web_scraper_order,web_scraper_start_url,pagination,title,data,data2,data3,data4
"1776950156-196","https://almokhtabar.com/en/testspackages/","","Immunophenotyping :CD56","EGP 1235","immunological analysis and it is also used for women in cases of recurrent miscarriage","1235","Add to Cart"
"1776950156-197","https://almokhtabar.com/en/testspackages/","","Pathological Examination , Large (Histopathology)","EGP 2610","tissue analysis, used in diagnosis of different types of masses","2610","Add to Cart"
"1776950156-198","https://almokhtabar.com/en/testspackages/","","Pathological Examination , Small (Histopathology)","EGP 1335","tissue analysis, used in diagnosis of different types of masses","1335","Add to Cart"
"1776950156-199","https://almokhtabar.com/en/testspackages/","","Estrogen ( Er receptors )","EGP 1505","an analysis used to determine the plan of hormonal treatment in breast cancer","1505","Add to Cart"
"1776950156-200","https://almokhtabar.com/en/testspackages/","","Progesterone ( Pr receptors )","EGP 1755","an analysis used to determine the plan of hormonal treatment in breast cancer","1755","Add to Cart"
"1776950156-201","https://almokhtabar.com/en/testspackages/","","Her-2/neu IHC","EGP 2660","an analysis used to determine the plan of hormonal treatment in breast cancer","2660","Add to Cart"
"1776950156-202","https://almokhtabar.com/en/testspackages/","","ANCA","EGP 1260","diagnosis of immune diseases","1260","Add to Cart"
"1776950156-203","https://almokhtabar.com/en/testspackages/","","EBV IgG (VCA-IgG)","EGP 565","diagnosis and follow-up of EBV virus, done in the first 3 months of pregnancy, recurrent miscarriage","565","Add to Cart"
"1776950156-204","https://almokhtabar.com/en/testspackages/","","Bleeding Time (BT)","EGP 175","coagulation diseases, part of pre-operative profile","175","Add to Cart"
"1776950156-205","https://almokhtabar.com/en/testspackages/","","Calprotectin in stool , Quantitative","EGP 2325","an analysis used to diagnose colitis","2325","Add to Cart"
"1776950156-206","https://almokhtabar.com/en/testspackages/","","Brucella Antibody (Malta)","EGP 640","Brucella is a type of bacterial infection that causes a high fever","640","Add to Cart"
"1776950156-207","https://almokhtabar.com/en/testspackages/","","Haemoglobin Electrophoresis","EGP 810","to diagnose certain types of anaemia","810","Add to Cart"
"1776950156-208","https://almokhtabar.com/en/testspackages/","","Anti- Thyroid Antibodies","EGP 700","Thyroid antibodies","700","Add to Cart"
"1776950156-209","https://almokhtabar.com/en/testspackages/","","Blood Gases ( Acid Base )","EGP 630","blood gases, which is an arterial sample","630","Add to Cart"
"1776950156-210","https://almokhtabar.com/en/testspackages/","","PSA (Total & Free)","EGP 1210","diagnosis of prostatic hyperplasia, proststic masses","1210","Add to Cart"
"1776950156-211","https://almokhtabar.com/en/testspackages/","","PROCALCITONIN","EGP 2840","diagnosis of the degree of inflammation and infection, bacterial or viral","2840","Add to Cart"
"1776950156-212","https://almokhtabar.com/en/testspackages/","","SPERM DNA FRAGMENTATION","EGP 5010","Diagnosis of abnormalities in the genetic material of the sperm, used in cases of failure of ICSI or recurrent miscarriage of embryos","5010","Add to Cart"
"1776950156-213","https://almokhtabar.com/en/testspackages/","","Anti -beta 2-Glycoprotein  (IgG)","EGP 1225","analysis used in the case of clots or recurrent miscarriage","1225","Add to Cart"
"1776950156-214","https://almokhtabar.com/en/testspackages/","","HOMA-IR-INDEX in serum","EGP 725","insulin resistance analysis, percentage of tissue resistance to insulin, efficiency of the pancreas, and the percentage of the hormone insulin are diagnosed","725","Add to Cart"
"1776950156-215","https://almokhtabar.com/en/testspackages/","","LDL - C","EGP 315","harmful cholesterol that is deposited in the arteries, in heart disease, atherosclerosis and diabetes","315","Add to Cart"
"1776950156-216","https://almokhtabar.com/en/testspackages/","","LDH","EGP 285","diagnosis of heart attacks, anemia, or liver disease and certain types of anaemia","285","Add to Cart"
"1776950156-217","https://almokhtabar.com/en/testspackages/","","Haemoglobin A1C","EGP 415","indicates the glycemic control in the previous three months","415","Add to Cart"
"1776950156-218","https://almokhtabar.com/en/testspackages/","","HCV Ab. (ELIZA)","EGP 670","HCV diagnosis and follow up, pre-operative and routine check up","670","Add to Cart"
"1776950156-219","https://almokhtabar.com/en/testspackages/","","Reducing Sugar in Stool","EGP 240","done to diagnose a milk allergy/breast milk allergy","240","Add to Cart"
"1776950156-220","https://almokhtabar.com/en/testspackages/","","T3  Total in serum","EGP 370","hormone from the thyroid gland","370","Add to Cart"
"1776950156-221","https://almokhtabar.com/en/testspackages/","","T4  Total in serum","EGP 370","hormone from the thyroid gland","370","Add to Cart"
"1776950156-222","https://almokhtabar.com/en/testspackages/","","vit D 25 Hydroxy Cholecalciferol","EGP 1680","vitamin D is used for patients with osteoporosis","1680","Add to Cart"
"1776950156-223","https://almokhtabar.com/en/testspackages/","","Albumin/ creatinine ratio, Urine","EGP 605","ratio of albumin to creatinine in the urine is examined by patients with diabetes or patients with kidney disease","605","Add to Cart"
"1776950156-224","https://almokhtabar.com/en/testspackages/","","Immunophenotyping :CD16","EGP 945","an immunological analysis is performed for women in the event of a miscarriage","945","Add to Cart"
"1776950156-225","https://almokhtabar.com/en/testspackages/","","Random Blood Glucose","EGP 175","random sugar is done for diabetics, follow-up pregnancy in the general examination","175","Add to Cart"
"1776950156-226","https://almokhtabar.com/en/testspackages/","","Glucose After 2 Hours","EGP 175","sugar two hours after eating, done for diabetics, following up on pregnancy in general examination","175","Add to Cart"
